itemid,price
675,5.166160933479238
343,7.382433867869534
679,8.669884765676661
361,7.67883724246147
822,2.7362443769202205
36,9.002238656161873
351,2.755322636280982
668,1.98728581238242
14,1.5087131297934597
466,8.894296292889466
830,3.4552359239792536
42,9.666153935172165
30,0.5553187454480955
663,7.165272118795027
83,9.954409885675275
932,2.6159875776190282
159,0.14749344441748538
401,1.2815925155956283
429,3.916250747609011
512,6.749471327464439
449,6.464035158619293
765,4.797220443095364
771,2.587412610321169
913,6.243467502352658
638,3.7003387402976724
392,7.241524776267243
559,4.219879308766657
620,6.685821708917111
842,9.892772564173857
56,1.3089073894799006
377,1.0991585280511431
316,0.6620924618705392
573,9.936030113589027
323,5.571459293265701
845,4.629379083548994
729,0.44944690550897437
642,5.749738920887406
861,7.4612737697226175
650,3.2296727907912977
141,1.529436053598634
812,9.752062805870562
257,1.0367127230942046
965,6.121903063292127
826,2.374517522373823
270,7.07021476399857
234,8.4460194242294
57,1.6218754583089323
871,7.894817213037707
42,6.443241873393591
395,2.5330130831648163
194,8.944216300487568
706,4.314999274051515
329,0.4878116050939568
660,2.704465275794376
5,1.1500313415075725
685,1.9305114848377443
428,4.901699187443987
416,6.421340847486011
889,4.4439303279956635
297,4.648932121845179
447,1.4805180280191168
854,9.961622946421063
920,6.297437650220803
953,5.528566757107285
655,6.050763213087516
166,9.534865270726119
363,5.493004577116344
965,2.7946785471389717
788,6.750282255641716
949,2.1152107003413163
202,6.05391278305415
839,9.449338421562999
348,8.420691878632804
152,0.9455044988881574
762,7.091459454291375
349,9.86436355390222
159,0.15238844327451392
156,9.59243258917528
669,4.92048212441627
324,7.7548575838457
47,0.595666098081429
818,1.1740868983729944
546,4.766826621435309
623,0.5988588814155336
719,1.96757467975085
201,8.994715239152946
649,7.961480183983566
14,9.083627289879049
141,3.4253118986788467
279,3.900463840435367
813,4.731897726825415
261,9.122853174135754
769,7.968589220654357
86,1.7698832326032883
246,7.339134506727367
158,4.747592493600117
457,5.879270496284419
573,9.12081215277333
304,1.3497569042606643
376,0.5960693118618963
901,1.864087686842328
958,7.602066206187491
304,7.724516123469107
94,6.7092390420635315
784,5.396625449740473
999,3.349876229965565
267,1.8632460599446776
763,9.50558166706599
942,9.733504708794296
251,7.415473646813881
190,2.097642589848871
199,3.1370990684109508
639,2.312840805927487
250,8.254793490808176
933,0.06079435349926221
212,7.0299807556509
514,2.1046616072078845
793,5.23776893160254
976,2.9429048050527706
856,9.800679611461394
