ccode,price
AFN,5.8725039814302
EUR,1.157567957685694
ALL,9.793988268308805
DZD,8.592021183248614
USD,1.0
AOA,9.180817708648
XCD,9.447970676572986
ARS,2.5374030979670126
AMD,1.952824201889528
AWG,3.6589057356256305
AUD,5.173534738173134
AZN,1.1299505599611324
BSD,8.600624941429269
BHD,1.8376516881020861
BDT,5.902216722234669
BBD,8.266303552842304
BYN,9.78415753687363
BZD,2.409349906353594
XOF,3.4007245263552117
BMD,0.23834018042272426
INR,3.8147169034496686
BTN,4.4788104911518305
BOB,2.199966959236182
BOV,6.574525753169908
BAM,3.0079278287030586
BWP,4.185677316083032
NOK,1.238719399841204
BRL,3.3447637277061038
BND,7.5972006953314875
BGN,4.248689209168937
BIF,5.105770946272131
CVE,9.38163064172995
KHR,9.859508476187361
XAF,8.823689345462176
CAD,5.697310356352784
KYD,6.341267229602967
CLP,0.28268000816057437
CLF,2.14286192137349
CNY,1.0572225230413541
COP,1.0700485881115425
COU,9.166705731574146
KMF,3.687239292470561
CDF,7.693053483425885
NZD,7.197686852234808
CRC,8.341817315281792
HRK,8.65765299383962
CUP,6.512697990171774
CUC,3.5345671636831404
ANG,4.692509354719079
CZK,7.3131791286434
DKK,1.3510373610423498
DJF,3.9224472441529965
DOP,8.566871496980747
EGP,0.5294364203068979
SVC,8.30621831079624
ERN,4.715607737823298
SZL,2.762712625032923
ETB,8.233323006013716
FKP,4.767622366726311
FJD,1.21319448836455
XPF,0.04777627765382088
GMD,2.372805947059022
GEL,2.1674082922207676
GHS,0.6917236421005157
GIP,2.530407545280272
GTQ,8.786847518940187
GBP,0.36885230344926295
GYD,9.831147540787036
HNL,0.5154706026696299
HKD,0.9555354972732104
HUF,1.805691451720356
ISK,5.972263402299085
IDR,8.285512919138538
XDR,5.980810398697111
IRR,0.05205395865534757
IQD,4.799531424604247
ILS,2.6032148051548782
JMD,3.6213751844180226
JPY,7.164615208088564
JOD,1.9408290767904437
KZT,1.99994527082889
KES,4.977304307971454
KPW,9.109865079892302
KRW,1.4705647834275302
KWD,7.628774863581354
KGS,8.027581211185916
LAK,5.375640107173388
LBP,1.4793788808117105
LSL,5.5210650678540265
ZAR,8.224225004255825
LRD,6.88778612457397
LYD,2.41699069794663
MOP,4.633147354385152
MKD,3.5852478615905268
MGA,3.694415759224076
MWK,4.998525354312389
MYR,0.40045041600252745
MVR,4.86997653610771
MRU,4.853922807344683
MUR,8.485098578614439
XUA,8.897605079435186
MXN,5.921907302905318
MXV,4.584343627696937
MDL,9.43004884976662
MNT,5.968813215375136
MAD,3.7381080407039513
MZN,8.854656989885182
MMK,8.721540120598288
NAD,1.4694522813589899
NPR,9.848508676478758
NIO,0.6655278547353873
NGN,1.521249867864244
OMR,1.2528167155694256
PKR,8.159209000449444
PAB,5.214861104082051
PGK,5.418231539758443
PYG,7.6283402199922925
PHP,4.7170036995590205
QAR,8.26645624783506
RON,0.8772926663228526
RUB,9.398665460617902
RWF,9.274946087802515
SHP,2.4470186192651786
WST,5.980344234495504
STN,5.150905296940102
SAR,5.869762158456668
RSD,4.811739068201683
SCR,5.290777800905234
SLL,3.970035986036536
SGD,8.793141559882354
XSU,3.225342029059618
SBD,0.8486048646384396
SOS,1.3731598042354825
SSP,6.426421503170026
LKR,0.08834368784174874
SDG,9.427751204797008
SRD,5.284196428322279
SEK,4.838806154401695
CHE,8.976862127654455
CHW,4.640055015832198
SYP,4.5841459079143
TWD,3.3520117363315105
TJS,6.158371697216847
TZS,4.316087680476738
THB,6.323746940196433
