1,Store
2,Store
3,Catalog
4,Store
5,Store
6,Catalog
7,Store
8,Catalog
9,Catalog
10,Catalog
11,Store
12,Store
13,Web
14,Store
15,Catalog
16,Store
17,Web
18,Web
19,Store
20,Web
21,Store
22,Store
23,Store
24,Store
25,Store
26,Catalog
27,Catalog
28,Store
29,Store
30,Store
31,Web
32,Catalog
33,Store
34,Store
35,Store
36,Catalog
37,Store
38,Store
39,Store
40,Store
41,Store
42,Store
43,Store
44,Store
45,Store
46,Web
47,Catalog
48,Store
49,Store
50,Store
51,Web
52,Web
53,Store
54,Catalog
55,Catalog
56,Catalog
57,Store
58,Store
59,Web
60,Store
61,Catalog
62,Store
63,Store
64,Store
65,Store
66,Store
67,Store
68,Catalog
69,Store
70,Store
71,Catalog
72,Store
73,Store
74,Store
75,Catalog
76,Store
77,Store
78,Store
79,Web
80,Store
81,Store
82,Catalog
83,Store
84,Store
85,Store
86,Catalog
87,Web
88,Store
89,Store
90,Store
91,Store
92,Store
93,Store
94,Store
95,Store
96,Catalog
97,Store
98,Web
99,Store
100,Store
101,Store
102,Catalog
103,Catalog
104,Store
105,Store
106,Web
107,Store
108,Store
109,Store
110,Store
111,Store
112,Store
113,Store
114,Catalog
115,Catalog
116,Store
117,Store
118,Catalog
119,Store
120,Store
121,Store
122,Store
123,Store
124,Store
125,Catalog
126,Store
127,Catalog
128,Web
129,Store
130,Store
131,Web
132,Store
133,Store
134,Catalog
135,Store
136,Store
137,Web
138,Store
139,Store
140,Store
141,Catalog
142,Store
143,Catalog
144,Store
145,Store
146,Store
147,Store
148,Catalog
149,Web
150,Store
151,Web
152,Catalog
153,Store
154,Store
155,Store
156,Web
157,Store
158,Store
159,Store
160,Store
161,Catalog
162,Store
163,Catalog
164,Store
165,Store
166,Store
167,Store
168,Web
169,Store
170,Store
171,Store
172,Store
173,Store
174,Store
175,Store
176,Store
177,Store
178,Store
179,Store
180,Store
181,Catalog
182,Web
183,Store
184,Catalog
185,Web
186,Web
187,Catalog
188,Store
189,Web
190,Catalog
191,Store
192,Store
193,Store
194,Store
195,Store
196,Catalog
197,Store
