AK,1998,1,876471.41
AK,1998,2,1106833.16
AK,1998,3,1738432.93
AK,1998,4,3314145.60
AK,1999,1,819239.04
AK,1999,2,790484.66
AK,1999,3,1968874.80
AK,1999,4,3639005.14
AK,2000,1,992797.46
AK,2000,2,1025538.87
AK,2000,3,1829337.20
AK,2000,4,3382914.92
AL,1998,1,2819639.36
AL,1998,2,3159523.46
AL,1998,3,5699848.51
AL,1998,4,9062715.88
AL,1999,1,3243422.46
AL,1999,2,3445541.70
AL,1999,3,5706445.73
AL,1999,4,8021578.54
AL,2000,1,2757393.74
AL,2000,2,2878239.70
AL,2000,3,5457429.05
AL,2000,4,8675314.27
AR,1998,1,3686488.59
AR,1998,2,3914741.66
AR,1998,3,6134197.91
AR,1998,4,10179268.56
AR,1999,1,3935939.36
AR,1999,2,4247681.47
AR,1999,3,6193833.67
AR,1999,4,9867474.80
AR,2000,1,4242002.31
AR,2000,2,3954617.05
AR,2000,3,6774959.90
AR,2000,4,9957458.51
AZ,1998,1,414508.33
AZ,1998,2,777106.43
AZ,1998,3,1546532.34
AZ,1998,4,1793230.64
AZ,1999,1,509824.36
AZ,1999,2,864793.63
AZ,1999,3,1303948.37
AZ,1999,4,1258196.33
AZ,2000,1,664712.32
AZ,2000,2,766551.82
AZ,2000,3,1018861.91
AZ,2000,4,2256285.55
CA,1998,1,3140398.38
CA,1998,2,2481703.42
CA,1998,3,4743627.67
CA,1998,4,9152303.48
CA,1999,1,2395496.14
CA,1999,2,2028377.64
CA,1999,3,4528307.70
CA,1999,4,8615317.36
CA,2000,1,2886426.20
CA,2000,2,2842601.63
CA,2000,3,5619235.71
CA,2000,4,9451046.60
CO,1998,1,2608657.63
CO,1998,2,2983826.34
CO,1998,3,5287680.74
CO,1998,4,9089107.13
CO,1999,1,3031316.00
CO,1999,2,2604188.15
CO,1999,3,4956094.99
CO,1999,4,8548725.02
CO,2000,1,3372487.07
CO,2000,2,3171659.11
CO,2000,3,6036405.70
CO,2000,4,8641470.48
CT,1998,1,238821.83
CT,1998,2,238222.05
CT,1998,3,718025.44
CT,1998,4,1110980.43
CT,1999,1,317390.05
CT,1999,2,292808.80
CT,1999,3,927526.60
CT,1999,4,1418344.45
CT,2000,1,368169.71
CT,2000,2,527891.44
CT,2000,3,580402.61
CT,2000,4,953597.06
DC,1998,1,41207.93
DC,1998,2,5559.89
DC,1998,3,69244.47
DC,1998,4,156940.88
DC,1999,1,60740.43
DC,1999,2,80457.07
DC,1999,3,26719.69
DC,1999,4,246148.93
DC,2000,1,48368.16
DC,2000,2,22311.76
DC,2000,3,23697.67
DC,2000,4,18063.15
DE,1998,1,28694.05
DE,1998,2,118646.08
DE,1998,3,352124.40
DE,1998,4,381786.70
DE,1999,1,24901.17
DE,1999,2,67231.29
DE,1999,3,147542.15
DE,1999,4,138577.57
DE,2000,1,121077.72
DE,2000,2,118405.42
DE,2000,3,31666.02
DE,2000,4,375981.45
FL,1998,1,3099057.00
FL,1998,2,3192912.73
FL,1998,3,4963692.61
FL,1998,4,8645420.98
FL,1999,1,2666666.97
FL,1999,2,2752208.05
FL,1999,3,5617109.88
FL,1999,4,9132155.08
FL,2000,1,2757350.28
FL,2000,2,3150519.28
FL,2000,3,5410929.69
FL,2000,4,9230202.97
GA,1998,1,8363095.88
GA,1998,2,6574690.24
GA,1998,3,14202435.57
GA,1998,4,22637617.83
GA,1999,1,7195753.65
GA,1999,2,7413635.33
GA,1999,3,14133475.61
GA,1999,4,21301149.72
GA,2000,1,7133234.67
GA,2000,2,7494793.79
GA,2000,3,14554483.38
GA,2000,4,21233998.28
HI,1998,1,239893.57
HI,1998,2,257933.34
HI,1998,3,379054.20
HI,1998,4,221873.16
HI,1999,1,75744.27
HI,1999,2,219629.46
HI,1999,3,229123.32
HI,1999,4,589016.23
HI,2000,1,303259.89
HI,2000,2,155139.23
HI,2000,3,523199.14
HI,2000,4,701347.14
IA,1998,1,4013485.84
IA,1998,2,4593675.05
IA,1998,3,9241559.81
IA,1998,4,13764114.50
IA,1999,1,4251448.38
IA,1999,2,4466963.72
IA,1999,3,7866067.61
IA,1999,4,12839631.60
IA,2000,1,4189481.73
IA,2000,2,4731261.46
IA,2000,3,9112741.14
IA,2000,4,15102875.14
ID,1998,1,2622054.40
ID,1998,2,2128244.69
ID,1998,3,3646317.03
ID,1998,4,6281766.48
ID,1999,1,1818608.68
ID,1999,2,1724398.86
ID,1999,3,4245877.15
ID,1999,4,5703062.21
ID,2000,1,2012750.01
ID,2000,2,2167614.54
ID,2000,3,4301122.78
ID,2000,4,5958579.36
IL,1998,1,4339874.70
IL,1998,2,3991597.80
IL,1998,3,9372164.23
IL,1998,4,13445448.09
IL,1999,1,5445745.75
IL,1999,2,4394284.89
IL,1999,3,8734957.33
IL,1999,4,13972813.68
IL,2000,1,4515029.50
IL,2000,2,4681612.27
IL,2000,3,8719253.94
IL,2000,4,14541710.08
IN,1998,1,3775999.79
IN,1998,2,4016424.69
IN,1998,3,7066400.09
IN,1998,4,14235240.41
IN,1999,1,4199905.93
IN,1999,2,3782239.60
IN,1999,3,7938731.88
IN,1999,4,13789131.84
IN,2000,1,4944231.01
IN,2000,2,4169112.42
IN,2000,3,6823051.17
IN,2000,4,13638280.30
KS,1998,1,4332869.80
KS,1998,2,3878058.80
KS,1998,3,8756551.99
KS,1998,4,14612943.89
KS,1999,1,5177969.41
KS,1999,2,5187337.08
KS,1999,3,8129452.42
KS,1999,4,15378588.18
KS,2000,1,4886330.88
KS,2000,2,5096140.63
KS,2000,3,8305382.53
KS,2000,4,15128479.66
KY,1998,1,5931250.77
KY,1998,2,5239438.05
KY,1998,3,10006920.21
KY,1998,4,18111774.75
KY,1999,1,5602695.24
KY,1999,2,5859689.60
KY,1999,3,10557647.34
KY,1999,4,17343140.71
KY,2000,1,5446918.95
KY,2000,2,5447050.70
KY,2000,3,10046452.66
KY,2000,4,16915071.84
LA,1998,1,2089553.46
LA,1998,2,2738666.06
LA,1998,3,4762137.35
LA,1998,4,6997043.95
LA,1999,1,2507676.43
LA,1999,2,1909685.84
LA,1999,3,4327891.96
LA,1999,4,7392616.20
LA,2000,1,2085031.57
LA,2000,2,2350375.47
LA,2000,3,4305762.52
LA,2000,4,6903256.45
MA,1998,1,332205.59
MA,1998,2,569720.81
MA,1998,3,1092964.15
MA,1998,4,1491918.22
MA,1999,1,711144.64
MA,1999,2,503562.56
MA,1999,3,1175325.88
MA,1999,4,1742804.13
MA,2000,1,736705.50
MA,2000,2,478008.07
MA,2000,3,1333188.61
MA,2000,4,1847936.80
MD,1998,1,837457.19
MD,1998,2,959043.49
MD,1998,3,1604999.47
MD,1998,4,2854521.95
MD,1999,1,1056274.41
MD,1999,2,729556.26
MD,1999,3,1526033.82
MD,1999,4,3175674.83
MD,2000,1,1163091.25
MD,2000,2,1271040.62
MD,2000,3,1694794.16
MD,2000,4,3346657.57
ME,1998,1,541686.34
ME,1998,2,907325.47
ME,1998,3,1529399.09
ME,1998,4,2032148.51
ME,1999,1,980487.27
ME,1999,2,619468.64
ME,1999,3,912054.10
ME,1999,4,2570937.45
ME,2000,1,733489.43
ME,2000,2,615336.53
ME,2000,3,917079.95
ME,2000,4,2345542.85
MI,1998,1,3485497.36
MI,1998,2,4449708.42
MI,1998,3,6379634.08
MI,1998,4,11146927.71
MI,1999,1,3556599.58
MI,1999,2,3925341.87
MI,1999,3,5375723.66
MI,1999,4,11635824.03
MI,2000,1,3739009.09
MI,2000,2,4094717.72
MI,2000,3,7582300.20
MI,2000,4,11234768.57
MN,1998,1,3097211.01
MN,1998,2,4560202.33
MN,1998,3,6159904.72
MN,1998,4,10885512.81
MN,1999,1,3295482.08
MN,1999,2,3794835.54
MN,1999,3,7823156.82
MN,1999,4,11464485.33
MN,2000,1,3667230.34
MN,2000,2,3226686.72
MN,2000,3,7125913.71
MN,2000,4,11659333.60
MO,1998,1,4805965.68
MO,1998,2,4491348.51
